position,flow_cell_id,product_code,passed,total_pore_count,timestamp
2D,PAU56503,FLO-PRO114M,False,3301,1712240565
2D,PAU31868,FLO-PRO114M,True,7444,1702907167
2D,PAW19102,FLO-PRO114M,False,3232,1711375280
2D,PBA01145,FLO-PRO114M,True,5818,1720789989
2D,PAW70935,FLO-PRO114M,True,7527,1715692852
2D,PAW60651,FLO-PRO114M,True,6931,1715697317
2D,PAS62242,FLO-PRO114M,True,5746,1709226770
2D,PAW23785,FLO-PRO114M,True,7013,1710172037
2D,PAW63143,FLO-PRO114M,True,6878,1715696183
2D,PAU28105,FLO-PRO114M,True,6958,1708698132
2D,PAU57388,FLO-PRO114M,True,7167,1709649388
2D,PAU50400,FLO-PRO114M,True,5492,1721326831
2D,PAO13255,FLO-PRO114M,True,6434,1705595337
2D,PAY58618,FLO-PRO114M,True,6163,1721757452
2D,PAO96687,FLO-PRO114M,True,7693,1721323703
2D,PAO99356,FLO-PRO114M,False,3436,1726580595
2D,PAW60978,FLO-PRO114M,True,7382,1721325325
2D,CTC69189,FLO-PRO002,False,0,1724772702
2D,PAO20032,FLO-PRO114M,False,2968,1713972112
2D,PAQ70065,FLO-PRO114M,True,7100,1698173302
2E,PAW64394,FLO-PRO114M,True,7596,1715696187
2E,PAW73599,FLO-PRO114M,True,6590,1716920374
2E,PAS46995,FLO-PRO114M,True,5604,1712240574
2E,PAW63021,FLO-PRO114M,True,6270,1715692847
2E,PAW23348,FLO-PRO114M,True,8123,1711379941
2E,PAS40024,FLO-PRO114M,True,5752,1721326836
2E,PAU70549,FLO-PRO114M,True,5284,1709226762
2E,PAQ61419,FLO-PRO114M,True,7539,1698173172
2E,PAY03854,FLO-PRO114M,True,8163,1719853405
2E,PAY01026,FLO-PRO114M,True,7485,1719320615
2E,PAW61007,FLO-PRO114M,True,6936,1715697314
2E,PAW62511,FLO-PRO114M,True,6690,1716311047
2E,PAW28523,FLO-PRO114M,True,7822,1710945318
2E,PAQ74109,FLO-PRO114M,False,4720,1726580601
2E,PAO18324,FLO-PRO114M,False,3340,1705595338
2E,PAU28925,FLO-PRO114M,True,6416,1712590367
2E,PAQ08495,FLO-PRO114M,False,3759,1713972113
2E,PAY88206,FLO-PRO114M,True,7855,1722357119
2E,PAW64017,FLO-PRO114M,True,7699,1715694687
2E,PAW71016,FLO-PRO114M,True,6507,1721325323
2E,PAY60230,FLO-PRO114M,True,6119,1721757453
2E,PAW77302,FLO-PRO114M,True,6186,1719842138
2E,PAU57029,FLO-PRO114M,True,7265,1710172039
2E,PAU31644,FLO-PRO114M,True,8158,1702907169
2E,PAW73440,FLO-PRO114M,True,8130,1714488950
2E,PAO84836,FLO-PRO114M,False,4470,1721323693
2E,PAO96336,FLO-PRO114M,False,0,1712675113
2E,CTC69266,FLO-PRO002,False,0,1724772707
2E,PAU31583,FLO-PRO114M,True,6637,1708698138
2E,PAU54567,FLO-PRO114M,True,6790,1709649387
2F,PAW70926,FLO-PRO114M,True,5651,1715692849
2F,PAW61473,FLO-PRO114M,True,5664,1721325322
2F,PAU29011,FLO-PRO114M,True,6235,1712590365
2F,PAO21246,FLO-PRO114M,True,6059,1721323696
2F,PAW24121,FLO-PRO114M,True,7828,1711379945
2F,PAU70344,FLO-PRO114M,True,5594,1709226757
2F,PAY88246,FLO-PRO114M,True,7300,1722357119
2F,CTC69171,FLO-PRO002,False,0,1724772698
2F,PAW28389,FLO-PRO114M,True,7811,1710945319
2F,PAW71905,FLO-PRO114M,True,7374,1714488953
2F,PAW64301,FLO-PRO114M,True,5957,1715694683
2F,PAW68855,FLO-PRO114M,True,7610,1716920382
2F,PAW61002,FLO-PRO114M,True,6799,1715697316
2F,PAU54491,FLO-PRO114M,True,7091,1710172029
2F,PAY00955,FLO-PRO114M,True,6634,1719320616
2F,PAS46369,FLO-PRO114M,False,3342,1712240570
2F,PAW77087,FLO-PRO114M,True,7649,1719842139
2F,PAW99780,FLO-PRO114M,True,7343,1719853407
2F,PAU50574,FLO-PRO114M,True,7566,1709649393
2F,PAO12955,FLO-PRO114M,False,3208,1705595346
2F,PAW73166,FLO-PRO114M,True,7015,1719241627
2F,PAQ72480,FLO-PRO114M,True,7091,1698173302
2F,PAU31628,FLO-PRO114M,True,5846,1702907165
2F,PAW64311,FLO-PRO114M,True,8071,1716311050
2F,PAO18364,FLO-PRO114M,True,5942,1712675111
2F,PAU32213,FLO-PRO114M,False,4887,1726580597
2F,PAU27090,FLO-PRO114M,True,7267,1708698134
2F,PAQ87259,FLO-PRO114M,False,0,1721326830
2G,PAU32187,FLO-PRO114M,True,8307,1702907166
2G,PAY04135,FLO-PRO114M,True,6747,1719842140
2G,PAQ01388,FLO-PRO114M,True,7474,1712675102
2G,PAS32783,FLO-PRO114M,False,0,1726580596
2G,PAO13131,FLO-PRO114M,False,3667,1705595340
2G,PAO99356,FLO-PRO114M,False,3367,1726682357
